Unnamed: 0,categories,dates,event_links,event_titles
39.0,"Accessible,Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/shape-up-zumbaadults,Shape Up NYC: Zumba - Adults
40.0,"Fitness,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/free-yoga-brooklyn,Free Yoga
41.0,"Fitness,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/free-yoga-brooklyn1,Free Yoga
42.0,"Fitness,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/free-yoga-east-harlem,Free Yoga
43.0,"Accessible,Art,Fitness,Outdoor Fitness,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/free-yoga-and-public-art-in-morningside-park,Free Yoga and Public Art in Morningside Park
44.0,"Nature,Volunteer,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/green-team,Green Team
45.0,"Education,Nature,Fitness,Best for Kids,Tours,Outdoor Fitness,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/claremont-in-motion-bike-ride,Claremont in Motion Bike Ride
46.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-owls-head-park,It's My Park at Owl's Head Park
47.0,"Arts & Crafts,Best for Kids",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/family-art-project-borderless-plants-and-kavad-boxes,Family Art Project: Borderless Plants and Kavad Boxes
48.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-red-hook-recreation-area,It's My Park at Red Hook Recreation Area
49.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-charlton-garden,CANCELLED: It's My Park at Charlton Garden
50.0,Volunteer,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/saturday-woodland-corps,Saturday Woodland Corps
51.0,"Nature,Art",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/ikebana-on-view,Ikebana on View
52.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-drew-playground,It's My Park at Drew Playground
53.0,"Accessible,Fitness,Outdoor Fitness,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/st-marys-senior-marlins-celebrate-second-saturday-family-day,St. Mary's Senior Marlins Celebrate Second Saturday Family Day
54.0,"Best for Kids,Sports",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/new-york-bike-jumble,New York Bike Jumble
55.0,"Art,History,Tours",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/conference-house-inside-out,Conference House: Inside Out
56.0,"Fitness,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/summer-on-the-hudson-butt-gut,Summer on the Hudson: Butt & Gut
57.0,"Dance,Fitness,Sports,Waterfront,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/summer-on-the-hudson-shape-up-nyc-zumba-in-west-harlem-piers-park,Summer on the Hudson: Shape Up NYC Zumba in West Harlem Piers Park
58.0,Best for Kids,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/stories-at-the-statue-of-hans-christian-andersen,Stories at the Statue of Hans Christian Andersen
59.0,"Art,Fitness,Sports,Outdoor Fitness,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/public-art-and-yoga-in-fort-greene-park,Public Art and Yoga In Fort Greene Park
60.0,"Education,Nature",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/wormshop-nyc-compost-project,NYC Compost Project: Wormshop
61.0,"Nature,Tours",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/garden-highlights-walk,Garden Highlights Walk
62.0,"Arts & Crafts,Nature,Art",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/ikebana-demonstration,Ikebana Demonstration
63.0,"Arts & Crafts,Best for Kids,Theater",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-princess-the-emperor-and-the-duck,"The Princess, The Emperor and The Duck"
64.0,"Education,Nature",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/wormshop,Wormshop
65.0,"Education,Nature,History,Tours,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/central-park-tour-northern-forts,Central Park Tour: Northern Forts
66.0,Education,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/screen-writers-workshop,Screenwriters Workshop
67.0,"Education,Art,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/arts-culture-fun-make-your-mark,"Arts, Culture & Fun: Make Your Mark"
68.0,"Best for Kids,Sports",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/learn-to-ride,Learn to Ride
69.0,"Education,Volunteer",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/workshop-for-new-volunteers-how-to-get-involved-with-your-park1,Workshop: Caring for Staten Island Parks
70.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-leif-ericson-park,It's My Park at Leif Ericson Park
71.0,"Volunteer,It's My Park",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-st-marys-park,It's My Park at St. Mary's Park
72.0,"Education,Nature,Best for Kids,Tours,Food,Talks,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/urban-farm-exploration-day,Urban Farm Exploration Day
73.0,"Birding,Nature,Wildlife",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/introduction-to-bird-watching,Introduction to Bird Watching
74.0,"Arts & Crafts,Nature,Art,Best for Kids",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/saturday-sculpture-workshop-clay-sculpture-with-the-noguchi-museum,Saturday Sculpture Workshop: Clay Sculpture with The Noguchi Museum
75.0,"Arts & Crafts,Education,Dance",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/williamsbridge-oval-park-80th-birthday,Williamsbridge Oval Park 80th Birthday
76.0,"Fitness,History,Outdoor Fitness",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/capoeira-for-beginners,Capoeira for Beginners
77.0,"Arts & Crafts,Best for Kids,Theater",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-princess-the-emperor-and-the-duck1,"The Princess, The Emperor and The Duck"
78.0,"Education,Nature",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/turn-learn-nyc-compost-project,Turn & Learn (NYC Compost Project)
79.0,"Education,Nature,Food,Talks,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/medicine-plant-workshop,Medicine Plant Workshop
80.0,Talks,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-bronx-meets-east-africa-panel-discussion,The Bronx Meets East Africa Panel Discussion
81.0,"Concerts, Summer Concerts",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/ingardens-free-jazz-concerts,InGardens Free Jazz Concerts
82.0,Best for Kids,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-magic-of-rogue-at-forest-park-carousel,The Magic of Rogue at Forest Park Carousel
83.0,"Accessible,History,Tours",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/union-square-park-crossroads-of-new-york-walking-tour,Union Square Park: Crossroads of New York Walking Tour
84.0,"Arts & Crafts,Best for Kids",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/paper-arts-and-crafts,CANCELLED: Paper Arts and Crafts
85.0,"Accessible,Arts & Crafts",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/crochet-basics-accessories-adults,CANCELLED: Crochet Basics and Accessories - Adults
86.0,"Education,Nature",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/outdoor-skills-fire-building,Outdoor Skills: Fire Building
87.0,"Education,Nature,History,Tours",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/central-park-tour-the-art-of-the-park,Central Park Tour: The Art of the Park
88.0,"Education,Nature,History,Best for Kids",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/family-nature-scavenger-hunt-at-fort-tryon-park,Family Nature Scavenger Hunt at Fort Tryon Park
89.0,"Education,Nature",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/101compost-101-in-chinese,Compost 101 (Chinese-Language Workshop)
90.0,"Concerts,Festivals, Summer Concerts",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/8th-annual-fort-greene-park-jazz-festival,8th Annual Fort Greene Park Jazz Festival
91.0,Best for Kids,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-magic-of-rogue-at-forest-park-carousel1,The Magic of Rogue at Forest Park Carousel
92.0,"Accessible,Dance,Film,Games, Summer Movies,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/fordham-film-festival,Fordham Film Festival
93.0,"Dance,Waterfront",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/arts-culture-fun-silent-disco,"Arts, Culture & Fun: Silent Disco"
94.0,"Concerts,Film, Summer Movies, Summer Concerts,Movies Under the Stars",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/historic-harlem-parks-manhattan-recreation-film-festival,Historic Harlem Parks & Manhattan Recreation Film Festival: The Fits
95.0,"Nature,Astronomy",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/urban-starfest-in-central-park,Urban Starfest in Central Park
96.0,"Theater, Summer Theater,Food",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/bryant-park-presents-shakespeare,Bryant Park Presents: Shakespeare: The Tempest
97.0,"Accessible,Film,Best for Kids, Summer Movies,Movies Under the Stars",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-moana,Movies Under the Stars: Moana
98.0,"Accessible,Film,Best for Kids, Summer Movies,Movies Under the Stars",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-sing,Movies Under the Stars: Sing
99.0,"Education,Nature,Talks",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-city-after-climate-change,The City After Climate Change
100.0,"Film,Best for Kids, Summer Movies,Movies Under the Stars",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-storks,Movies Under the Stars: Storks
101.0,"Film, Summer Movies,Movies Under the Stars",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-guardians-of-the-galaxy-vol-2,Movies Under the Stars: Guardians of the Galaxy Vol. 2
102.0,"Accessible,Concerts,Art,Film, Summer Movies, Summer Concerts,Seniors",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/outdoor-movie-screening-nysferatu-symphony-of-a-century-by-andrea-mostrovito1,Outdoor Movie Screening - NYsferatu: Symphony of a Century by Andrea Mastrovito
103.0,"Film, Summer Movies,Movies Under the Stars",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-hidden-figures,Movies Under the Stars: Hidden Figures
104.0,Art,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-fence,The Fence
105.0,Fitness,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-marine-park,NYRR Open Run: Marine Park
106.0,Fitness,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-conference-house-park,NYRR Open Run: Conference House Park
107.0,Fitness,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-crotona-park,NYRR Open Run: Crotona Park
108.0,Fitness,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-cunningham-park,NYRR Open Run: Cunningham Park
109.0,"Markets,Food",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/farmers-market,Cunningham Park Farmers Market
110.0,"Markets,Food",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/hattie-carthan-community-sunday-farmers-market,Hattie Carthan Community Sunday Farmers Market
111.0,"Birding,Education,Nature,Tours,Wildlife",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/fall-birding,Fall Birding
112.0,"Fitness,Outdoor Fitness",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/free-yoga-in-the-hudson-boulevard-park,Free Yoga
113.0,"Fitness,Outdoor Fitness",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/tai-chi-fort-greene,Tai Chi Fort Greene
114.0,"Nature,History,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/prospect-park-walking-tours,Prospect Park Walking Tours
115.0,Volunteer,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/roger-morris-park-garden-volunteer-day,Roger Morris Park Garden Volunteer Day
116.0,"Arts & Crafts,Best for Kids",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/family-art-project-borderless-plants-and-kavad-boxes,Family Art Project: Borderless Plants and Kavad Boxes
117.0,"Volunteer,It's My Park",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/its-my-park-at-cedar-grove-beach,It's My Park at Cedar Grove Beach
118.0,"History,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/worlds-fair-history-walking-tour,CANCELLED: World's Fair History Walking Tour
119.0,"Arts & Crafts,Best for Kids,Theater",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-princess-the-emperor-and-the-duck,"The Princess, The Emperor and The Duck"
120.0,"History,Tours,Hiking",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/historic-new-york-old-croton-aqueduct,Historic New York: Old Croton Aqueduct
121.0,"Education,Nature,History,Tours,Seniors",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/central-park-tour-north-woods,Central Park Tour: North Woods
122.0,"Nature,Hiking,Wildlife",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/thomas-jefferson-park-to-randalls-island-moderate,Thomas Jefferson Park to Randall's Island Hike (Moderate)
123.0,"Nature,Fishing",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/seining1,Seining
124.0,"Nature,Hiking",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/trail-of-the-month-red-trail-from-high-rock-park,Trail of the Month: Red Trail from High Rock Park
125.0,"Education,Dance,Nature,Art,Waterfront",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/healing-drum-circle,Healing Drum Circle
126.0,"Education,Nature,Best for Kids,Tours,Food,Talks,Waterfront",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/urban-farm-exploration-day,Urban Farm Exploration Day
127.0,"Volunteer,It's My Park",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/its-my-park-at-maria-hernandez-park,POSTPONED:  It's My Park at Maria Hernandez Park
128.0,"Education,Nature,Best for Kids,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/family-nature-walk,Family Nature Walk
129.0,"Nature,Fitness,Sports,Kayaking and Canoeing,Waterfront,Outdoor Fitness",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/free-community-rowing-at-pier-40,Free Community Rowing at Pier 40
130.0,Volunteer,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/forest-crew,Forest Crew
131.0,"History,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/worlds-fair-history-walking-tour1,CANCELLED: World's Fair History Walking Tour
132.0,"Arts & Crafts,Best for Kids,Theater",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-princess-the-emperor-and-the-duck1,"The Princess, The Emperor and The Duck"
133.0,"Nature,Best for Kids,Wildlife",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/seaside-wildlife-exploration,Seaside Wildlife Exploration
134.0,"Nature,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nature-scavenger-hunt,Nature Scavenger Hunt
135.0,"Accessible,Best for Kids,Sports",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/youth-wheelchair-basketball-host-by-new-york-rolling-fury,Youth Wheelchair Basketball Hosted by New York Rolling Fury
136.0,"Concerts,Dance",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-7th-annual-washington-square-park-folk-festival,The 7th Annual Washington Square Park Folk Festival
137.0,"Accessible,Arts & Crafts,Concerts,Festivals,Games,Best for Kids, Summer Concerts,Waterfront",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/summer-on-the-hudson-west-side-county-fair,Summer on the Hudson: West Side County Fair
