categories,dates,event_links,event_titles
EducationFree,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/screen-writers-workshop,Screenwriters Workshop
"Education,Art,SeniorsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/arts-culture-fun-make-your-mark,"Arts, Culture & Fun: Make Your Mark"
"Best for Kids,SportsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/learn-to-ride,Learn to Ride
"Education,VolunteerFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/workshop-for-new-volunteers-how-to-get-involved-with-your-park1,Workshop: Caring for Staten Island Parks
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-leif-ericson-park,It's My Park at Leif Ericson Park
"Volunteer,It's My ParkFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/its-my-park-at-st-marys-park,It's My Park at St. Mary's Park
"Education,Nature,Best for Kids,Tours,Food,Talks,WaterfrontFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/urban-farm-exploration-day,Urban Farm Exploration Day
"Birding,Nature,WildlifeFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/introduction-to-bird-watching,Introduction to Bird Watching
"Arts & Crafts,Nature,Art,Best for KidsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/saturday-sculpture-workshop-clay-sculpture-with-the-noguchi-museum,Saturday Sculpture Workshop: Clay Sculpture with The Noguchi Museum
"Arts & Crafts,Education,DanceFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/williamsbridge-oval-park-80th-birthday,Williamsbridge Oval Park 80th Birthday
"Fitness,History,Outdoor FitnessFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/capoeira-for-beginners,Capoeira for Beginners
"Arts & Crafts,Best for Kids,Theater",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-princess-the-emperor-and-the-duck1,"The Princess, The Emperor and The Duck"
"Education,NatureFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/turn-learn-nyc-compost-project,Turn & Learn (NYC Compost Project)
"Education,Nature,Food,Talks,WaterfrontFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/medicine-plant-workshop,Medicine Plant Workshop
TalksFree,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-bronx-meets-east-africa-panel-discussion,The Bronx Meets East Africa Panel Discussion
Best for KidsFree,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-magic-of-rogue-at-forest-park-carousel,The Magic of Rogue at Forest Park Carousel
"Accessible,History,ToursFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/union-square-park-crossroads-of-new-york-walking-tour,Union Square Park: Crossroads of New York Walking Tour
"Arts & Crafts,Best for KidsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/paper-arts-and-crafts,CANCELLED: Paper Arts and Crafts
"Accessible,Arts & CraftsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/crochet-basics-accessories-adults,CANCELLED: Crochet Basics and Accessories - Adults
"Education,NatureFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/outdoor-skills-fire-building,Outdoor Skills: Fire Building
"Education,Nature,History,Tours",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/central-park-tour-the-art-of-the-park,Central Park Tour: The Art of the Park
"Education,Nature,History,Best for KidsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/family-nature-scavenger-hunt-at-fort-tryon-park,Family Nature Scavenger Hunt at Fort Tryon Park
"Education,Nature",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/101compost-101-in-chinese,Compost 101 (Chinese-Language Workshop)
"Concerts,Festivals,Free Summer ConcertsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/8th-annual-fort-greene-park-jazz-festival,8th Annual Fort Greene Park Jazz Festival
Best for KidsFree,09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-magic-of-rogue-at-forest-park-carousel1,The Magic of Rogue at Forest Park Carousel
"Accessible,Dance,Film,Games,Free Summer Movies,SeniorsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/fordham-film-festival,Fordham Film Festival
"Dance,WaterfrontFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/arts-culture-fun-silent-disco,"Arts, Culture & Fun: Silent Disco"
"Concerts,Film,Free Summer Movies,Free Summer Concerts,Movies Under the StarsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/historic-harlem-parks-manhattan-recreation-film-festival,Historic Harlem Parks & Manhattan Recreation Film Festival: The Fits
"Nature,AstronomyFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/urban-starfest-in-central-park,Urban Starfest in Central Park
"Theater,Free Summer Theater,FoodFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/bryant-park-presents-shakespeare,Bryant Park Presents: Shakespeare: The Tempest
"Accessible,Film,Best for Kids,Free Summer Movies,Movies Under the StarsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-moana,Movies Under the Stars: Moana
